brand,category,name,volume,price,highMockupPrice,imglink
Migros,kuru meyve,Içceviz,150 g,12.90₺,14.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08084040/08084040-08256d.jpg
Ülker,gofret,Çikolatalıgofret,180 g,4.95₺,6.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07160060/07160060-fc5cf7.jpg
Ülker,çikolata,Çikolatafıstıklıkare,70 g,5.95₺,10.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07030064/ulker-antep-fistikli-kare-70-gr-52ed59.jpg
Eti,atıştırmalık,Balıkkraker,40 g,0.75₺,1.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07010601/eti-balik-kraker-60-gr-4979ce.jpg
Eti,bisküvi,Cicibebebisküvi,1000 g,15.90₺,18.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07010022/07010022-2adb89.jpg
Cheetos,cips,Fıstıkaileboy,20 g,0.75₺,4.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05081611/05081611-c3c9a5.png
Eti,bisküvi,Burçakbisküvi,131 g,2.00₺,7.0₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07010112/07010112-3c6818.jpg
Ülker,çikolata,Napoliten,33 g,2.50₺,7.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07163020/07163020-74f24f.jpg
Kinder,kek,Sütdilimi,4x28 g,5.45₺,6.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/11561991/kinder-sut-dilimi-4x28-gr-29c0f1.jpg
Lay'S,cips,Fırındanpatatescipsi,134 g,6.85₺,11.85₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05088278/05088278-d6f1c3.jpg
Eti,atıştırmalık,Craxçubukkraker,45 g,0.60₺,2.6₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07010600/07010600-b8bd84.jpg
Dido,gofret,Sütlüçikolatalıgofret,35 g,1.70₺,6.7₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07163049/ulker-dido-38-gr-b06c65.jpg
Ülker,çikolata,Bolsütlükare,60 g,3.95₺,5.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/7038030/7038030-94b2ca.jpg
Kinder,kek,Pingui,4x30 g,5.95₺,8.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/11561990/kinder-pingui-4x30-gr-bb1ade.jpg
Kinder,çikolata,Chocolate,4'lü 50 g,3.85₺,8.85₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07040281/07040281-c9048d.jpg
Eti,atıştırmalık,Gong,64 g,1.95₺,6.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07012145/07012145-36cdc0.jpg
Cheetos,cips,,3 al multipack 43 g,1.75₺,3.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05081428/05081428-f9b08f.jpg
9 Kat Tat,gofret,Rulokatfındıklırulo,170g,6.50₺,10.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07160175/07160175-ebeec5.jpg
Haylayf,bisküvi,Bisküvi,64g,1.25₺,6.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07011120/ulker-haylayf-64-gr-19be3b.jpg
Migros,kuruyemiş,Sarıleblebi,200 g,4.45₺,8.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08084038/08084038-49200d.jpg
Eti,bisküvi,Cicibebebisküvi,172 g,3.50₺,8.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07010101/07010101-ae368c.jpg
Eti,bisküvi,Negrokakaolukremalı,3lü 330 g,6.25₺,7.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07010180/07010180-65a583.jpg
Tadım,kuruyemiş,Ayçekirdek,180 g,10.00₺,15.0₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/8097411/08097411-dea313.jpg
Çokonat,gofret,,5'li paket 120 g,5.90₺,8.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07160065/07160065-2aa842.jpg
