brand,category,name,volume,price,highMockupPrice,imglink
Migros,pirinç,Baldopirinç,1000 g,9.95₺,13.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01011179/01011179-ff1326.jpg
Migros,mercimek,Yeşilmercimek,1000 g,8.15₺,9.15₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01059960/01059960-c7ee63.jpg
Migros,pirinç,Baldopirinç,2500 g,24.70₺,28.7₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01011183/01011183-6a8d15.jpg
Migros,mercimek,Kırmızımercimek,1000 g,7.20₺,8.2₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01069986/01069986-d29d8e.jpg
Migros,bakliyat,Nohut,1000 g,6.50₺,11.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01049977/01049977-16269d.jpg
Migros,bakliyat,Dermasonkurufasulye,1000 g,13.75₺,17.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01020001/01020001-925b28.jpg
Torku,bulgur,Pilavlıkbulgur,1 kg,6.35₺,11.35₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01075146/01075146-137bf3.jpg
Migros,mercimek,Kırmızımercimek,2500 g,17.60₺,18.6₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01069992/01069992-ff7df2.jpg
Yayla,bakliyat,Koçbaşınohut,1000 g,10.95₺,15.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01049927/yayla-kocbasi-nohut-1000-g-9fcb56.jpg
Migros,bulgur,Pilavlıkbulgur,1000 g,4.45₺,5.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01075093/01075093-b86910.jpg
Migros,bulgur,Pilavlıkbulgur,2500 g,10.95₺,11.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01075110/01075110-f9681d.jpg
Yayla,pirinç,Yerlipirinç,2 kg osmancık bölgesi mahsulü,19.95₺,20.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01010084/01010084-29591a.jpg
Migros,bakliyat,Patlayanmısır,500 g,3.45₺,5.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01200012/01200012-b355ee.jpg
Yayla Türk,mercimek,Lmercimek,1 kg,12.75₺,13.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01051801/01051801-7c61e6.jpg
Migros,bulgur,Köftelikbulgur,1000 g,4.45₺,8.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01089949/01089949-e6738d.jpg
Migros,pirinç,Pilavlıkyerlipirinç,2500 g,16.45₺,18.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01013252/01013252-a35dd2.jpg
Yayla,bakliyat,Dermasonfasulye,1 kg,19.90₺,20.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01022301/01022301-707e31.jpg
Migros,bakliyat,Aşurelikbuğday,1000 g,4.25₺,8.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01099937/01099937-8cd83d.jpg
Yayla,pirinç,Baldopirinç,2 kg gönen bölgesi mahsulü,29.50₺,32.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01012030/01012030-d58431.jpg
Yayla,bakliyat,Patlayanmısır,500 g,6.15₺,9.15₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01200013/01200013-0efa15.jpg
Yayla,mercimek,Kırmızımercimek,1 kg,11.75₺,16.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01061910/01061910-9d8ee2.jpg
Migros,pirinç,Pilavlıkithalpirinç,2500 g,11.75₺,15.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01011181/01011181-a80775.JPG
Duru Bulgur,bulgur,Ikbulgur,1000 g,7.30₺,12.3₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01075029/01075029-dd57e7.jpg
Duru Bulgur,bulgur,Ikbulgur,2.5 kg,17.90₺,19.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01075106/duru-pilavlik-bulgur-2-5-kg-848718.jpg
