brand,category,name,volume,price,highMockupPrice,imglink
Lipton,çay,Iceteaşeftali,2 l,5.00₺,7.0₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08059599/08059599-b34fe4.png
Migros,çay,Demlikpoşetçay,320 g 100'lü,12.95₺,17.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03118293/03118293-bd28b5.jpg
Lipton,çay,Iceteaşeftali,1.5 l,5.75₺,7.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08059596/08059596-0be6a2.png
Lipton,çay,Icetealimon,2 l,5.00₺,10.0₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08055171/08055171-0b1dc1.png
Çaykur,çay,Altınbaşçay,500 g,22.75₺,24.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03111312/caykur-altinbas-cay-500-gr-9a26e3.jpg
Çaykur,çay,Tiryakiçayı,1000 g,32.75₺,33.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03111315/03111315-b8d5d1.jpg
Migros,çay,Bardakpoşetçay,25'li 50 g,3.75₺,6.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03118291/03118291-02fc97.jpg
Migros,çay,Bergamotaromalıçay,500 g,10.95₺,14.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03118371/03118371-c82708.jpg
Doğuş,çay,Karadenizçayı,1000 g,28.95₺,32.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03118206/03118206-d16a73.jpg
Lipton,çay,Demlikpoşetçay,48'li 153g,15.95₺,18.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03113402/03113402-c1804c.jpg
Çaykur,çay,Rizeturistçay,1000 g,33.50₺,35.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03111303/03111303-949450.jpg
Doğadan,çay,Ayvalııhlamurçayı,20'lı,7.95₺,11.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03134134/03134134-56d8b1.jpg
Lipton,çay,Iceteaşeftali,6x330 ml,14.95₺,16.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08059546/08059546-b792ad.jpg
Lipton,çay,Iceteaşeftali,6x330 ml,14.95₺,19.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08059442/08059442-bd1387.jpg
Lipton,çay,Doğukaradenizdemlik,120'li 384 g,21.38₺,24.38₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03118328/03118328-f8f60d.jpg
Doğadan,çay,Gelenekselkaradenizçay,1000 g,24.95₺,29.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03118211/03118211-3bde59.jpg
Doğuş,çay,Filizçayı,1000 g,29.95₺,31.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/3111650/3111650-65cdb2.jpg
Migros,çay,Filizçay,1000 g,21.90₺,25.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03118368/03118368-5003bb.jpg
Lipton,çay,Demlikpoşetçay,100'lü 320 g,32.95₺,35.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03113406/03113406-249b8f.jpg
Çaykur,çay,Rizeturistçay,500 g,18.15₺,19.15₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03111302/caykur-rize-turist-cay-500-gr-5c269d.jpg
Doğuş,çay,Earlgreydemlik,100'lü 320 g,29.90₺,34.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03118006/03118006-3b908c.jpg
Migros,çay,Şeftaliaromalııce,1 l,2.25₺,5.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08051243/08051243-8cbf31.jpg
Lipton,çay,Iceteaşekersiz,1 l,5.00₺,10.0₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08038974/08038974-8944ae.jpg
Lipton,çay,Demlikpoşetçay,100'lü,32.95₺,37.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03113404/03113404-969b4b.png
