brand,category,name,volume,price,highMockupPrice,imglink
Coca Cola,gazlı içecek,Şekersiz,6x250 ml kutu,15.95₺,18.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08019112/08019112-4f4ef3.jpg
Coca Cola,gazlı içecek,Şekersiz,4x1 l,17.20₺,21.2₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08010909/08010909-abaad1.jpg
Coca Cola,gazlı içecek,Şekersiz,1 l,4.45₺,5.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08010701/08010701-be6181.jpg
Coca Cola,gazlı içecek,,"1,5 l",5.25₺,9.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08010903/08010903-ac1ac6.jpg
Coca Cola,gazlı içecek,,6x250 ml kutu,15.95₺,16.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08019111/08019111-0fdc7b.jpg
Coca Cola,gazlı içecek,,2x1 l,7.70₺,11.7₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08011869/08011869-abb757.jpg
Coca Cola,gazlı içecek,,4x1 l,18.45₺,20.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08010905/08010905-05911e.jpg
Coca Cola,gazlı içecek,Şekersiz,"1,75 l",5.25₺,7.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08011755/08011755-ab3e05.jpg
Schweppes,gazlı içecek,Mandalinaaromalıgazlı,1 l,5.50₺,9.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08022710/08022710-311a6f.jpg
Coca Cola,gazlı içecek,Şekersiz,"2,5 l",6.95₺,7.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08011605/08011605-990dbf.jpg
Coca Cola,gazlı içecek,Şekersiz,6x250 ml,15.75₺,17.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08011854/08011854-04e16e.jpg
Coca Cola,gazlı içecek,,"2,5 l",7.50₺,8.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08011600/08011600-30b4d8.jpg
Coca Cola,gazlı içecek,,6x250 ml cam şişe,15.75₺,17.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08011751/08011751-c74da7.jpg
Pepsi,gazlı içecek,Colapet,4x1 l,16.25₺,21.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08011101/08011101-6419cb.jpg
Pepsi,gazlı içecek,Maxpet,4x1 l,16.75₺,20.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08011150/08011150-039b4f.jpg
Sprite,gazlı içecek,Limonaromalıgazoz,9x250 ml,21.90₺,24.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08019135/08019135-60fa78.jpg
Coca Cola,gazlı içecek,,1 l,4.75₺,8.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08010700/08010700-f5b4a6.jpg
Coca Cola,gazlı içecek,Light,"1,5 l",5.25₺,8.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08010902/08010902-c49216.jpg
Schweppes,gazlı içecek,Tonikpet,1 l,5.50₺,6.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08035025/08035025-84c567.jpg
Fanta,gazlı içecek,Portakalaromalıgazoz,"1,5 l",5.25₺,9.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08022050/08022050-5215bc.jpg
Pepsi,gazlı içecek,Maxkutu,4x250 ml,9.25₺,11.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08019106/08019106-5d95f4.jpg
Pepsi,gazlı içecek,Colamaxpet,1.5 l,4.95₺,9.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08011010/08011010-d2200d.jpg
Fanta,gazlı içecek,,6x250 ml kutu,15.95₺,17.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08022670/08022670-0e8d0d.jpg
Torku,gazlı içecek,Noonbitki,250 ml,2.95₺,7.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08019138/08019138-7dec9c.jpg
