brand,category,name,volume,price,highMockupPrice,imglink
Migros,gazsız içecek,Ayran,1500 ml,4.95₺,6.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/11559376/migros-ayran-1500-ml-84c114.jpg
Uludağ,gazsız içecek,Limonataşekersiz,1 l,4.45₺,6.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08060172/08060172-bc083d.jpg
Sütaş,gazsız içecek,Pratikşişeayran,1 l,3.95₺,4.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/11550470/sutas-pratik-sise-ayran-1-l-6ffab1.jpg
Altınkılıç,gazsız içecek,Kefir,1 l,7.95₺,9.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/11550900/11550900-d78a47.jpg
Dimes,gazsız içecek,%,100 karışık meyve suyu 1 l,4.76₺,8.76₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08054914/08054914-91598b.png
Uludağ,gazsız içecek,Limonata,1 l,4.45₺,5.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/8060171/8060171-1d7d5e.jpg
Tropicana,gazsız içecek,Afyonvişnenektarı,1 l,5.50₺,7.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08057156/08057156-c5b62b.jpg
Altınkılıç,gazsız içecek,Kefir,250 ml,4.25₺,6.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/11554127/11554127-8a7c4f.jpg
Altınkılıç,gazsız içecek,Çileklikefirix,250 ml,4.25₺,9.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/11550904/11550904-fc2ea9.jpg
Dimes,gazsız içecek,%,100 elma suyu 1 l,4.76₺,9.76₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08054810/08054810-3e403f.png
Eker,gazsız içecek,Ayran,"1,5 l",8.25₺,12.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/11552604/eker-ayran-1-5-l-0dcb50.jpg
Altınkılıç,gazsız içecek,Laktozsuzkefir,1 l,8.95₺,9.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/11550995/11550995-dd267b.jpg
Dimes,gazsız içecek,%,100 portakal suyu 1 l,7.16₺,9.16₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08054802/08054802-8c2763.png
Altınkılıç,gazsız içecek,Kefirixormanmeyveli,250 ml,4.25₺,5.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/11550907/11550907-3f13b2.jpg
Cappy,gazsız içecek,Bahçe%,100 elma vişne suyu karton kutu 1 l,5.95₺,7.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08054581/08054581-e32a7e.jpg
Cappy,gazsız içecek,Pulpyportakallıiçecek,1 l,4.95₺,7.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08054610/08054610-eb3d89.jpg
Sek,gazsız içecek,Ayran,2 l,8.95₺,10.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/11554008/11554008-322f8a.jpg
Pınar,gazsız içecek,Sadekefir,1 l,7.25₺,12.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/11559504/11559504-27ef9b.jpg
Dimes,gazsız içecek,Ananaslıiçecek,1 l,4.95₺,8.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08060199/08060199-639eae.jpg
Dimes,gazsız içecek,%,100 şeftali - elma suyu 1 l,4.76₺,8.76₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08054911/08054911-300c3e.png
Dimes,gazsız içecek,%,100 kırmızı meyvelerden meyve suyu 1 l,4.76₺,5.76₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08054838/08054838-1e76c9.png
Içim,gazsız içecek,Kefir,1 l,6.95₺,10.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/11552592/11552592-98bd46.jpg
Eker,gazsız içecek,Ayran,1 l,5.45₺,7.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/11550100/eker-ayran-1-l-c20816.jpg
Doğanay,gazsız içecek,Şalgamsuyuacılı,1000 ml,4.95₺,9.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08078920/doganay-salgam-suyu-acili-1000-ml-7b64ec.jpg
