brand,category,name,volume,price,highMockupPrice,imglink
De Cecco,makarna,Gnocchi,500 g,15.50₺,20.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05039237/05039237-e56e6b.jpg
De Cecco,makarna,Pennerigatemakarna,500 g,15.50₺,17.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05038622/de-cecco-penne-rigate-makarna-500-gr-4fa432.jpg
Barilla,makarna,Academiafusilliburgu,500 g,20.55₺,21.55₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05039607/05039607-5397db.jpg
Barilla,makarna,Academiasadekesme,500 g,20.55₺,22.55₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05039605/05039605-0542a3.jpg
De Cecco,makarna,Pappardellemakarna,500 g,24.50₺,26.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05036828/de-cecco-pappardelle-makarna-500-gr-d90744.jpg
Banetti,makarna,Sebzeçeşnilibardak,65 g,5.45₺,7.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05039645/05039645-dc438f.jpg
Arbella,makarna,Domatessosluçabuk,67 g,5.75₺,10.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030064/05030064-1e06e2.jpg
Pastavilla,makarna,Mezzanellimakarna,500 g,4.75₺,7.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030727/pastavilla-mezzanelli-makarna-500-gr-da6dde.jpg
Mutlu Makarna,makarna,Nya,500 g,16.50₺,18.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030072/05030072-00f448.jpg
Reeva,makarna,Danaetiaromalı,75 g,10.75₺,15.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05039685/05039685-8ba4e9.jpg
De Cecco,makarna,Rigatoni,500 g,15.50₺,20.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05039238/05039238-03a4e1.jpg
Veronelli,makarna,Cheesemushroommakarna,160 g,4.84₺,6.84₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030251/05030251-177578.jpg
Banetti,makarna,Sebzeçeşnilipoşet,75 g,2.15₺,3.15₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05039643/05039643-c520df.jpg
Un Do Tre,makarna,Danaetlitortellini,300 g,19.50₺,21.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05037432/uno-un-do-tre-dana-etli-tortellini-300-gr-86f6a8.jpg
Şarköy Çiftlik,makarna,Tambuğdayunlu,500 g,10.95₺,14.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030037/05030037-0f92fb.jpg
De Cecco,makarna,Fettuccinemakarna,500 g,24.50₺,27.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05038620/de-cecco-fettuccine-makarna-500-gr-30b354.jpg
Mutlu Makarna,makarna,Ellini,250 g,17.90₺,19.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030070/05030070-5f3aae.jpg
Reeva,makarna,Tavuketiaromalı,75g,10.75₺,15.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05039684/05039684-15afc3.jpg
De Cecco,makarna,Linguine,500 g,15.50₺,20.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05039252/05039252-065759.jpg
Istiklal Yolu,makarna,Siyezmakarnası,250g,7.95₺,9.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030060/05030060-c78521.jpg
Yayla,süper gıdalar,Gurmeteff,500 g,25.95₺,30.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01150109/yayla-gurme-teff-500-gr-4fa302.jpg
Duru Bulgur,bulgur,Iriklipilavlıkbulgur,250 g,4.10₺,6.1₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/1070093/1070093-e28dca.jpg
Şekeroğlu,bulgur,Çiğköfteseti,600 g,9.40₺,12.4₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01085011/01085011-3ba1e3.jpg
Yayla,bulgur,Gurmefityeşil,360 g,11.25₺,16.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01070017/01070017-c3611e.jpg
Yayla,mercimek,Gurmebelugamercimek,500 g,12.75₺,13.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01061946/yayla-gurme-beluga-mercimek-500-gr-9c5575.jpg
Yayla,bulgur,Gurmefirikbulgur,500 g,15.90₺,19.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01075120/yayla-gurme-firik-bulgur-500-gr-9df242.jpg
Yayla,süper gıdalar,Gurmebeyazkinoa,500 g,41.50₺,44.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01011931/yayla-gurme-beyaz-kinoa-500-gr-a9f7eb.jpg
Ipek,bulgur,Köftelikbulgur,1 kg,6.25₺,8.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01075132/01075132-4b74e2.jpg
Yayla,bulgur,Gurmefitnohutlu,360 g,7.75₺,8.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/01075144/yayla-gurme-fit-nohutlu-bulgur-360-gr-ae5fff.jpg
