brand,category,name,volume,price,highMockupPrice,imglink
Tat,hazır yemek,Barbunyapilaki,400 g,5.81₺,9.809999999999999₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09060005/09060005-a12488.jpg
Beypazarı,meze,, yaprak sarma kg,53.90₺,55.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/19000710/19000710-1ccb15.jpg
Reyondan,meze,,e kg,36.90₺,41.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/19000781/19000781-537b0d.jpg
Mezzetürk,meze,Russalatası,300 g,3.00₺,7.0₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/19000913/mezzeturk-rus-salatasi-300-gr-ff4de8.jpg
Tat,hazır yemek,Fasulyepilaki,400 g,5.78₺,6.78₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09062106/tat-fasulye-pilaki-400-gr-829669.jpg
Mezzetürk,meze,Yapraksarma,300 g,4.80₺,7.8₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/19000910/mezzeturk-yaprak-sarma-300-gr-e37a82.jpg
Yayla,hazır yemek,Yemekhazırkinoalı,250 g,5.95₺,8.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/9112131/9112131-165f22.jpg
Yayla,hazır yemek,Yemekhazıryeşil,250g,5.20₺,10.2₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/9112135/9112135-067411.jpg
Biberes,meze,Evacıkası,200 g,7.95₺,9.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/19001941/19001941-30e543.jpg
Yayla,hazır yemek,Yemekhazırfasulye,400 g,6.90₺,10.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/9112123/9112123-0d5dbe.jpg
Yayla,hazır yemek,Yemekhazırnohutlu,250 g,5.20₺,10.2₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/9112133/9112133-346bf4.jpg
Mister No,hazır yemek,Klasikkaşarsalam,145 g,12.90₺,16.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/19009113/19009113-f4b3b8.jpg
Reyondan,meze,,arma kg,64.50₺,69.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/19000767/yaprak-sarma-kg-mz-8cfff6.jpg
Tat,hazır yemek,Yapraksarma,400 g,10.69₺,15.69₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09060025/tat-yaprak-sarma-400-gr-87db4b.jpg
Yayla,hazır yemek,Yemekhazırsiyez,250 g,7.95₺,10.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/9112137/9112137-40b80e.jpg
Tukaş,hazır yemek,Fasülyepilaki,400 g,3.75₺,5.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09062097/tukas-fasulye-pilaki-400-gr-2313f0.jpg
Yayla,hazır yemek,Yemekhazırsiyezli,250g,3.80₺,4.8₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09112138/09112138-b2db88.jpg
Tukaş,hazır yemek,Barbunyapilaki,400 g,3.75₺,6.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09062095/tukas-barbunya-pilaki-400-gr-3c1d22.jpg
Mister No,hazır yemek,Klasiktonbalıklı,145 g,12.90₺,16.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/19007050/19007050-b812bb.jpg
Yayla,hazır yemek,Yemekhazırdomates,250 g,3.80₺,6.8₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/9112139/9112139-41cf7e.jpg
Mister No,hazır yemek,Klasikkaşarlıüçgen,145 g,12.90₺,14.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/19007962/19007962-6f85d1.jpg
Tada,hazır yemek,Tereyağlıçayelifasulyesi,250 g,11.95₺,13.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09062172/09062172-e366fc.jpg
Yayla,hazır yemek,Yemekhazıryayla,250 g,3.80₺,5.8₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/9112141/9112141-d88ea2.jpg
Yayla,hazır yemek,Yemekhazırkremalı,250 g,5.00₺,9.0₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/9112140/9112140-5f459b.jpg
