brand,category,name,volume,price,highMockupPrice,imglink
Kurukahveci Mehmet Efendi,kahve,Türkkahvesi,100 g,6.45₺,9.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03211601/03211601-a57e01.jpg
Nescafe,kahve,Goldçözünebilirkahve,150 g ekopaket,35.90₺,36.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03231539/03231539-9085a1.jpg
Nescafe,kahve,,2 si 1 arada 10'lu paket 10x10 g,7.45₺,11.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03222688/03222688-0d42c1.png
Kurukahveci Mehmet Efendi,kahve,Türkkahvesi,250 g,20.95₺,23.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03211602/kurukahveci-mehmet-efendi-turk-kahvesi-250-gr-ed7baa.jpg
Migros,kahve,Türkkahvesi,100 g,3.95₺,5.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03212004/03212004-a5d012.jpg
Tchibo,kahve,Goldselectionkavanoz,100 g,32.95₺,35.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03231569/03231569-4814eb.jpg
Tchibo,kahve,Türkkahvesi,100 g,5.75₺,9.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03212075/03212075-1fc541.jpg
Hisar Kahve,kahve,Kahvesi,100 g,3.95₺,8.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03211954/03211954-dbf2dd.jpg
Coffe Mate,kahve,Feemate,625 g ekonomik paket,20.95₺,25.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03411350/03411350-207ebc.jpg
Nescafe,kahve,,3'ü 1 arada 15'li 262 g,12.45₺,15.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03222651/03222651-25d377.png
Tchibo,kahve,Goldselectionfiltre,250 g,24.95₺,27.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03271968/03271968-4dc204.jpg
Nescafe,kahve,Classicekonomikpaket,200 g,19.90₺,22.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03221310/03221310-b90bc8.jpg
Nescafe,kahve,Goldekonomikpaket,200 g,46.90₺,50.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03231312/03231312-4c1bb5.jpg
Nescafe,kahve,,3'ü 1 arada original 10x17.5 g,7.45₺,11.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03222571/03222571-8d14f2.png
Nescafe,kahve,,3'ü 1 arada sütlü köpüklü 10'lu paket 10x17.4 g,7.45₺,10.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03222689/03222689-d75640.png
Nescafe,kahve,Classicekonomikpaket,100 g,9.95₺,14.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03221309/03221309-1d5d9f.jpg
Coffee Mate,kahve,Kahvebeyazlatıcıekonomik,500 g,20.95₺,22.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03411314/03411314-e11b16.jpg
Tchibo,kahve,Guatemalagrandefiltre,250 g,39.95₺,42.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03271947/03271947-0a1e50.jpg
Nescafe,kahve,Gold,50 g ekonomik paket,13.95₺,17.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03231305/03231305-ffc394.jpg
Nescafe,kahve,,3'ü 1 arada extra 10'lu paket 10x16.5 g,7.45₺,10.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03222697/03222697-690780.png
Migros,kahve,Kahvebeyazlatıcıekonomik,200 g,4.50₺,8.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03411972/03411972-422548.jpg
Kurukahveci Mehmet Efendi,kahve,Türkkahvesi,500 g,35.45₺,36.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03211604/kurukahveci-mehmet-efendi-turk-kahvesi-500-gr-460681.jpg
Migros,kahve,,2'si 1 arada kahve 14 g,0.50₺,4.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03222634/03222634-caca9c.jpg
Migros,kahve,Goldkahve,200 g,19.90₺,21.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/03231533/03231533-7e9337.jpg
