brand,category,name,volume,price,highMockupPrice,imglink
Tat,salça,Domatessalçasıcam,710 g,9.90₺,11.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09010020/09010020-11915b.jpg
Superfresh,konserve,Mısır,3x220 g,9.95₺,11.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09033011/09033011-df4295.jpg
Migros,salça,Domatessalçası,830 g,6.50₺,9.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09010122/09010122-1ce0d0.jpg
Migros,konserve,Salatalıkturşusu,680 g,4.45₺,5.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/16200801/16200801-8ec126.jpg
Migros,konserve,Iriparçalıton,2x160 g,10.90₺,15.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09051116/09051116-bb9beb.JPG
Tat,salça,Domatessalçası,830 g,10.75₺,12.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09010009/09010009-89ecdc.jpg
Tat,konserve,Salatalıktursu,680 g,12.45₺,13.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/16200355/tat-salatalik-tursu-680-gr-0c5c8e.jpg
Migros,konserve,Iriparçalılight,2x160 g,10.90₺,13.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09051117/09051117-86fff4.JPG
Superfresh,konserve,Ton,3x80 g,21.90₺,26.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09050570/09050570-48ad86.jpg
Tat,konserve,Mısır,3x220 g,14.45₺,19.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09033003/09033003-e44c39.jpg
Tat,konserve,Garnitür,530 g,6.94₺,8.94₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09035510/09035510-5c5581.jpg
Tat,salça,Köydomatessalçası,1700 g,34.95₺,38.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09010297/09010297-3cac5d.jpg
Tat,salça,Köydomatessalçası,560 g,12.95₺,16.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09010310/tat-koy-domates-salcasi-560-gr-356950.jpg
Migros,konserve,Mısırkonservesi,340g,4.45₺,8.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09035749/09035749-c40009.jpg
Tat,konserve,Kornişonturşusu,370 cc,9.90₺,13.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/16200351/16200351-cd38c4.jpg
Kühne,konserve,Pancarturşusu,680 g,8.93₺,13.93₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09043121/kuhne-pancar-tursusu-680-gr-63086e.jpg
Tat,salça,Domatesrendesi,685 g,7.25₺,12.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09012034/tat-domates-rendesi-685-gr-2643b7.jpg
Tat,konserve,Közlenmişpatlıcan,520 g,9.86₺,12.86₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09033765/tat-kozlenmis-patlican-520-gr-1489f5.jpg
Migros,konserve,Bezelyekonservesi,830 g,4.45₺,9.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09035758/09035758-8838ae.jpg
Yayla,konserve,Haşlanmışnohut,700 g,4.76₺,5.76₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09112126/09112126-03060f.jpg
Superfresh,konserve,Garnitür,570 g,5.35₺,10.35₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09030023/super-fresh-superfresh-garnitur-570-gr-9bfcf2.jpg
Tat,salça,Tatlıbibersalçası,550 g ( cam ),12.50₺,16.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09011006/09011006-498691.jpg
Migros,konserve,Karışıkturşu,680 g,4.75₺,6.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/16200800/16200800-16e3ca.jpg
Tukaş,salça,Domatessalçası,1650 g,31.50₺,36.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09010101/09010101-ea7937.JPG
