brand,category,name,volume,price,highMockupPrice,imglink
Beypazarı,içece,Madensuyu,6x200 ml,4.75₺,6.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08040710/beypazari-maden-suyu-6x200-ml-ea0f41.jpg
Kızılay,içece,Madensuyu,6x200 ml,4.95₺,9.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08040655/08040655-406cca.jpg
Sırma,içece,Doğalmadensuyu,6x200 ml cam,4.75₺,9.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08040900/08040900-e94f95.jpg
Uludağ,içece,Doğalmadensuyu,6x200 ml,6.35₺,7.35₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08040650/08040650-1e05f1.jpg
Sırma,içece,C+Limonaromalı,6x200 ml,8.50₺,13.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08040141/08040141-58eb5e.jpg
Damla,içece,Mineraminerallisu,6x200 ml,4.75₺,5.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08040965/08040965-7e49d4.jpg
Migros,içece,Limondoğalzengin,6x200 ml,5.95₺,9.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08040593/-migros-limon-dogal-zengin-mineralli-icecek-6x200-ml-9126ad.jpg
Sırma,içece,Limonaromalıdoğal,6x200 ml,7.95₺,11.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08040804/08040804-698fc1.jpg
Migros,içece,Elmadoğalzengin,6x200 ml,5.95₺,9.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08040595/-migros-elma-dogal-zengin-mineralli-icecek-6x200-ml-95814d.jpg
Sırma,içece,C+Mandalinaaromalı,6x200 ml,8.50₺,10.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08040143/08040143-0e20bf.jpg
Frutti,içece,Fruttilimon,6x200 ml,8.35₺,13.35₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08040676/08040676-5a88ed.jpg
Frutti,içece,Fruttikarpuz-,6x200 ml,8.35₺,11.35₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08040680/08040680-9a2d56.jpg
Migros,içece,Çilekdoğalzengin,6x200 ml,5.95₺,8.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08040594/-migros-cilek-dogal-zengin-mineralli-icecek-6x200-ml-7be8ed.jpg
Akmina,içece,Madensuyu,1 l,3.25₺,6.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08040923/08040923-d06826.png
San Pellegrino,içece,Doğalminerallisu,"0,75 l",8.95₺,10.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08040925/san-pellegrino-sanpellegrino-dogal-mineralli-su-0-75-l-f28de0.jpg
Sırma,içece,C+Elmalıdoğal,6x200 ml,8.50₺,9.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08040144/08040144-a1aa1b.jpg
Akmina,içece,Elmaaromalımaden,6x200 ml,8.95₺,13.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08040944/08040944-df86b2.png
Kızılay,içece,Limonaromalımaden,6x200 ml,8.45₺,13.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08040658/turk-kizilayi-kizilay-limon-aromali-maden-suyu-6x200-ml-da5a56.jpg
Akmina,içece,Madensuyu,6x200 ml,8.95₺,9.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08040917/08040917-b1ee91.jpg
Akmina,içece,Limonaromalımaden,6x200 ml,8.95₺,10.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08040943/08040943-286413.png
Frutti,içece,Fruttielma,6x200 ml,8.35₺,12.35₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08040677/08040677-ac1c01.jpg
Akmina,içece,Madensuyupet,6x330 ml,10.50₺,15.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08040922/08040922-025b3a.png
Frutti,içece,Fruttiextrayeşil,250 ml,3.25₺,6.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08040688/08040688-9c7487.jpg
Erikli,içece,Ahudududoğalmineralli,6x200 ml,9.95₺,13.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08028200/08028200-a39605.jpg
