brand,category,name,volume,price,highMockupPrice,imglink
Pastavilla,makarna,Spaghettimakarna,500 g,4.75₺,5.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030708/05030708-3ade41.jpg
Pastavilla,makarna,Burgumakarna,500 g,4.75₺,7.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030711/pastavilla-burgu-makarna-500-gr-3ada8f.jpg
Migros,makarna,Burgumakarna,500 g,1.95₺,5.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030887/05030887-edb3d1.jpg
Pastavilla,makarna,Kalemmakarna,500 g,4.75₺,6.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030714/05030714-93d943.jpg
Pastavilla,makarna,Kelebekmakarna,500 g,4.75₺,6.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030710/05030710-4478b5.jpg
Filiz,makarna,Fiyonkmakarna,500 g,3.45₺,7.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030354/05030354-3d2e32.jpg
Filiz,makarna,Spagettiçubukmakarna,500 g,3.45₺,5.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030356/05030356-7aead8.jpg
Filiz,makarna,Boncukmakarna,500 g,3.45₺,6.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030351/05030351-22f5ee.jpg
Barilla,makarna,Fusilliburgumakarna,500 g,5.25₺,8.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030340/05030340-10da88.jpg
Migros,makarna,Arpaşehriye,500 g,1.95₺,4.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030888/05030888-ed6bb7.jpg
Nuh'Un Ankara,makarna,Boncukmakarna,500 g,3.20₺,5.2₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030215/nuh-un-ankara-boncuk-makarna-500-gr-d86176.jpg
Barilla,makarna,Spaghettimakarna,500 g,5.25₺,8.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030344/05030344-aa3ff2.jpg
Filiz,makarna,Kalemmakarna,500 g,3.45₺,6.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030360/05030360-448e77.jpg
Pastavilla,makarna,Mantımakarna,500 g,4.75₺,8.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030701/pastavilla-manti-makarna-500-gr-8651b0.jpg
Filiz,makarna,Kelebekmakarna,500 g,3.45₺,7.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030364/05030364-867525.jpg
Filiz,makarna,Burgumakarna,500 g,3.45₺,5.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030352/05030352-d88df2.jpg
Nuh'Un Ankara,makarna,Spagettimakarna,500 g,3.20₺,6.2₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030208/05030208-0f1c64.jpg
Veronelli,makarna,Burgumakarna,500 g,3.08₺,6.08₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030257/05030257-e3d4f2.jpg
Pastavilla,makarna,Linguinemakarna,500 g,4.75₺,5.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030742/pastavilla-linguine-makarna-500-gr-975f25.jpg
Arbella,makarna,Kalemkesmemakarna,500 g,3.10₺,4.1₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05039324/05039324-ba726a.jpg
Filiz,makarna,Telşehriye,500 g,3.45₺,4.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030358/05030358-e0db63.jpg
Barilla,makarna,Conchiglieminimidye,500 g,5.25₺,6.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030346/05030346-ecfcc0.jpg
Arbella,makarna,Burgumakarna,500 g,3.10₺,8.1₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05039323/05039323-a993ce.jpg
Barilla,makarna,Linguineyassıspagetti,500 g,5.25₺,7.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05030349/05030349-4a177d.jpg
