brand,category,name,volume,price,highMockupPrice,imglink
Billur,"tuz, baharat, harç",Tuzrafineiyotlu,750 g,3.45₺,5.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06021102/billur-tuz-rafine-iyotlu-sofra-tuzu-750-gr-29b318.jpg
Billur,"tuz, baharat, harç",Tuzrafineiyotlu,"1,5 kg",6.50₺,8.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06021113/billur-tuz-rafine-iyotlu-sofra-tuzu-1-5-kg-98c761.jpg
Arifoğlu,baharat,Karabiber,50 g,5.63₺,9.629999999999999₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06012965/06012965-d98511.jpg
Migros,"tuz, baharat, harç",Iyotlusofratuzu,750 g,0.85₺,1.85₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06023558/06023558-7303ec.jpg
Arifoğlu,baharat,Pulkırmızıbiber,70 g,4.43₺,6.43₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06012972/06012972-d25d5a.jpg
Arifoğlu,baharat,Kekik,25 g,2.63₺,5.63₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06012967/06012967-f56e0a.jpg
Billur,"tuz, baharat, harç",Tuzsalamuratuzu,3 kg,4.95₺,6.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06021106/billur-tuz-salamura-tuzu-3-kg-03410e.jpg
Baharat Dünyası,baharat,Karabiber,90 g,5.50₺,10.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06016234/baharat-dunyasi-karabiber-90-gr-216e75.jpg
Arifoğlu,baharat,Çörekotu,70 g,4.95₺,7.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06012962/arifoglu-corek-otu-70-gr-22f59b.jpg
Bağdat,baharat,Susam,75 g,5.95₺,6.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06011208/06011208-24a09f.jpg
Baharat Dünyası,baharat,Kekik,20 g,0.95₺,5.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06016237/baharat-dunyasi-kekik-20-gr-314a44.jpg
Bağdat,baharat,Kabuktarçın,45 g,8.95₺,10.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06011218/bagdat-kabuk-tarcin-45-gr-2e9ab7.jpg
Bağdat,baharat,Kuşüzümü,40 g,4.95₺,5.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06011231/bagdat-kus-uzumu-40-gr-dcdee9.jpg
Baharat Dünyası,baharat,Kimyon,75 g,2.75₺,5.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06016235/baharat-dunyasi-kimyon-75-gr-dc7643.jpg
Baharat Dünyası,baharat,Hindistancevizi,50 g,2.25₺,3.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06016236/baharat-dunyasi-hindistan-cevizi-50-gr-1ec1ea.jpg
Efsina,"tuz, baharat, harç",Kayatuzusilindir,600 g,14.25₺,19.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06023547/efsina-kaya-tuzu-silindir-kutu-600-g-6853b1.jpg
Arifoğlu,baharat,Karabiber,40 g,6.55₺,7.55₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06010038/06010038-80a74a.jpg
Bağdat,baharat,Zencefiltoz,60 g,7.95₺,9.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06010046/06010046-382fb6.jpg
Arifoğlu,baharat,Karanfil,15 g,6.25₺,10.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06012966/arifoglu-karanfil-15-g-829831.jpg
Bağdat,baharat,Pulbiber,80 g,6.95₺,8.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06011204/06011204-9425e3.jpg
Bağdat,baharat,Tarçın,45 g,5.95₺,9.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06011212/bagdat-tarcin-50-gr-38c6c7.jpg
Bağdat,baharat,Çörekotu,75 g,5.90₺,10.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06011209/06011209-bc77ad.jpg
Arifoğlu,baharat,Limontuzuparça,60 g,3.95₺,7.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06012970/arifoglu-limon-tuzu-parca-60-gr-de903b.jpg
Bağdat,baharat,Karanfil,15 g,5.95₺,9.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06011220/bagdat-karanfil-15-gr-99eb96.jpg
